feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHH,3JHN
molecule_type_dist_mean,False,False,False,False,False,False,False
molecule_type_dist_mean_diff,False,False,False,False,False,False,True
mu,False,False,False,False,False,False,False
mulliken_atom_0,False,True,False,True,False,False,False
mulliken_atom_1,False,False,False,True,False,False,True
mulliken_max,False,False,False,False,False,False,False
mulliken_min,False,False,False,False,False,False,False
rc_A,False,False,False,False,False,False,False
rc_B,False,False,False,False,False,False,False
rc_C,False,False,False,False,False,False,False
sd_molecule_atom_1_dist_xyz,False,False,False,False,False,False,False
tor_ang_2leftleft_count,True,False,,,,,
tor_ang_2leftleft_max,False,False,,,,,
tor_ang_2leftleft_mean,False,False,,,,,
tor_ang_2leftleft_min,False,False,,,,,
val_not_0_mean,False,False,False,False,False,False,False
val_not_0_min,False,False,,,,,
val_not_0_std,False,False,False,False,False,False,False
val_not_1_mean,False,False,False,False,False,False,True
val_not_1_std,False,False,False,False,False,False,False
yukawa_Cx,False,False,False,False,False,False,False
yukawa_Hx,False,False,False,True,False,False,False
yukawa_Hy,True,True,False,True,False,False,False
yukawa_Nx,False,False,False,False,False,False,True
yukawa_Ox,False,False,False,False,False,False,False
zpve,False,False,False,False,False,False,False
